id;NumberOfModules;NumberOfFragments;EvaluationTime;ModuleConfiguration;
76;25;185;8;Prog + Weighted + G_NoEdges#Weighted#Edges_Undirected + G_NoEdges#Weighted + G_NoEdges#Edges_Undirected + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Benchmark + Alg_Transpose + Alg_Shortest + Alg_MSTPrim + Alg_MSTKruskal + ( Edges_Directed -> Edges_Undirected ) + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> GN_OnlyNeighbors - G_NoEdges -> GEN_Edges ) + ( G_NoEdges -> Edges_Undirected ) + ( GN_OnlyNeighbors -> G_NoEdges -> GEN_Edges );
77;7;118;2;SearchAlg_SearchBase + Weighted + SearchAlg + Benchmark + Base + Alg_MSTKruskal + Alg_Cycle;
78;13;164;3;SearchAlg_SearchBase + Weighted + SearchAlg_DFS + SearchAlg + G_NoEdges#Weighted + Benchmark + Alg_Shortest + Alg_Number + Alg_MSTKruskal + Alg_Cycle + Alg_Connected + ( Base -> G_NoEdges );
79;12;129;2;SearchAlg_DFS + Weighted + SearchAlg + Prog + Edges_Directed + Benchmark + Alg_MSTPrim + Alg_Cycle + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> GEN_Edges );
80;15;159;4;SearchAlg + Weighted + Edges_Directed + Benchmark + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_Shortest + Alg_Number + Alg_MSTKruskal + Alg_Connected + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> GEN_Edges );
81;9;131;2;SearchAlg_SearchBase + Weighted + SearchAlg + Benchmark + Base + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_MSTPrim;
82;6;96;0;SearchAlg_DFS + Weighted + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + ( Base -> GN_OnlyNeighbors );
83;17;198;5;SearchAlg_SearchBase + Weighted + SearchAlg_BFS + SearchAlg + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Benchmark + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_Shortest + Alg_MSTPrim + Alg_MSTKruskal + Alg_Cycle + Alg_Connected + ( Base -> GN_OnlyNeighbors );
84;9;109;1;SearchAlg + Weighted + G_NoEdges#Weighted + Edges_Directed + Alg_Transpose + Alg_Shortest + Alg_Connected + ( Base -> G_NoEdges );
85;9;129;1;SearchAlg_SearchBase + Weighted + SearchAlg + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Alg_Shortest + Alg_Number + ( Base -> GN_OnlyNeighbors );
86;4;61;0;SearchAlg_DFS + Weighted + Edges_Directed + Base;
87;12;132;3;SearchAlg_DFS + Weighted + SearchAlg + Edges_Undirected + Benchmark + Alg_Transpose + Alg_MSTKruskal + Alg_Cycle + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> GEN_Edges );
88;16;162;6;SearchAlg_SearchBase + Weighted + SearchAlg + Prog + Edges_Undirected + Benchmark + Base + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_Shortest + Alg_Number + Alg_MSTPrim + Alg_MSTKruskal + Alg_Cycle + Alg_Connected;
89;19;188;7;SearchAlg_BFS + Weighted + SearchAlg + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Benchmark + Alg_Number + Alg_MSTPrim + Alg_MSTKruskal + Alg_Cycle + ( Edges_Directed -> Edges_Undirected ) + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base - GN_OnlyNeighbors -> GEN_Edges ) + ( GN_OnlyNeighbors -> GEN_Edges );
90;21;215;7;SearchAlg_SearchBase + Weighted + SearchAlg_DFS + SearchAlg_BFS + SearchAlg + Prog + G_NoEdges#Weighted + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Benchmark + Alg_Shortest + Alg_Number + Alg_MSTPrim + Alg_MSTKruskal + Alg_Cycle + Alg_Connected + ( Base -> GN_OnlyNeighbors -> G_NoEdges ) + ( GN_OnlyNeighbors -> G_NoEdges );
91;15;165;3;SearchAlg + Weighted + Benchmark + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_Shortest + Alg_Number + Alg_MSTKruskal + Alg_Cycle + Alg_Connected + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> GEN_Edges );
92;8;135;2;SearchAlg_BFS + Weighted + SearchAlg + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Benchmark + ( Base -> GN_OnlyNeighbors );
93;10;120;3;SearchAlg_SearchBase + Weighted + SearchAlg + Prog + Edges_Directed + Benchmark + Base + Alg_Transpose + Alg_MSTPrim + Alg_Cycle;
94;21;212;8;SearchAlg_SearchBase + Weighted + SearchAlg_DFS + SearchAlg + Prog + G_NoEdges#Weighted + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Benchmark + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_Shortest + Alg_Number + Alg_MSTKruskal + Alg_Connected + ( Base -> GN_OnlyNeighbors -> G_NoEdges ) + ( GN_OnlyNeighbors -> G_NoEdges );
95;7;129;2;SearchAlg_SearchBase + Weighted + G_NoEdges#Weighted + Benchmark + Alg_MSTPrim + ( Base -> G_NoEdges );
96;22;220;6;SearchAlg_SearchBase + Weighted + SearchAlg_DFS + SearchAlg_BFS + SearchAlg + G_NoEdges#Weighted + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Edges_Directed + Benchmark + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_Shortest + Alg_MSTKruskal + Alg_Cycle + Alg_Connected + ( Base - GN_OnlyNeighbors -> G_NoEdges ) + ( GN_OnlyNeighbors -> G_NoEdges );
97;12;158;3;SearchAlg_SearchBase + Weighted + SearchAlg_DFS + SearchAlg + G_NoEdges#Weighted + Benchmark + Alg_Shortest + Alg_Number + Alg_MSTKruskal + Alg_Connected + ( Base -> G_NoEdges );
98;10;121;2;SearchAlg_SearchBase + Weighted + SearchAlg_DFS + SearchAlg + Benchmark + Base + Alg_Transpose + Alg_Shortest + Alg_MSTPrim + Alg_Cycle;
99;3;60;0;Base + Weighted + Alg_Shortest;
100;10;113;2;SearchAlg_DFS + Weighted + Prog + Benchmark + Alg_Shortest + Alg_MSTPrim + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> GEN_Edges );
