no;methodName;statements;involvedModules;fragments;visibility;baseSplit;fineGrained;nested;
237;read(byte[],int,int):int;0;0;0;invisible;1;0;0;
238;read():int;0;0;0;invisible;1;0;0;
239;getLengthOfLength(byte[]):int;0;0;0;invisible;1;0;0;
240;isConstructed():boolean;0;0;0;invisible;1;0;0;
241;getContents():byte[];0;0;0;invisible;1;0;0;
242;getApplicationTag():int;0;0;0;invisible;1;0;0;
243;getObject():DERObject;0;0;0;invisible;1;0;0;
244;getObject(int):DERObject;0;0;0;invisible;1;0;0;
245;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
246;asn1Equals(DERObject):boolean;0;0;0;invisible;1;0;0;
247;hashCode():int;0;0;0;invisible;1;0;0;
248;addObject(DEREncodable):void;0;0;0;invisible;1;0;0;
249;getSize():int;0;0;0;invisible;1;0;0;
250;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
251;getOctetOutputStream():OutputStream;0;0;0;invisible;1;0;0;
252;getOctetOutputStream(byte[]):OutputStream;0;0;0;invisible;1;0;0;
253;write(int):void;0;0;0;invisible;1;0;0;
254;write(byte[],int,int):void;0;0;0;invisible;1;0;0;
255;close():void;0;0;0;invisible;1;0;0;
256;getOctets():byte[];0;0;0;invisible;1;0;0;
257;getObjects():Enumeration;0;0;0;invisible;1;0;0;
258;generateOcts():Vector;0;0;0;invisible;1;0;0;
259;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
260;read():int;0;0;0;invisible;1;0;0;
261;read(byte[],int,int):int;0;0;0;invisible;1;0;0;
262;toByteArray():byte[];0;0;0;invisible;1;0;0;
263;setEofOn00(boolean):void;0;0;0;invisible;1;0;0;
264;checkForEof():boolean;0;0;0;invisible;1;0;0;
265;read(byte[],int,int):int;0;0;0;invisible;1;0;0;
266;read():int;0;0;0;invisible;1;0;0;
267;hasMoreElements():boolean;0;0;0;invisible;1;0;0;
268;nextElement():Object;0;0;0;invisible;1;0;0;
269;readObject():Object;0;0;0;invisible;1;0;0;
270;BERSet();0;0;0;invisible;1;0;0;
271;BERSet(DEREncodable);0;0;0;invisible;1;0;0;
272;BERSet(DEREncodableVector);0;0;0;invisible;1;0;0;
273;BERSet(DEREncodableVector,boolean);0;0;0;invisible;1;0;0;
274;DERSet();0;0;0;invisible;1;0;0;
275;DERSet(DEREncodable);0;0;0;invisible;1;0;0;
276;DERSet(DEREncodableVector);0;0;0;invisible;1;0;0;
277;DERSet(ASN1Encodable[]);0;0;0;invisible;1;0;0;
278;DERSet(DEREncodableVector,boolean);0;0;0;invisible;1;0;0;
